"datei_alt","einheit_source","test_that_titel","zeile_von","zeile_bis","funktionen","einheit_vorschlag","ziel_final","bemerkung"
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Randfall: winzige Raten -> fast immer 0:0 -> fast immer Elfmeter -> Quote nahe 0.5",513,524,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Randfall: sehr grosse Staerkedifferenz -> Quote nahe 1, aber nie ueber 1",526,551,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","zweikampf_quote lehnt unbrauchbare Raten ab",553,562,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Die Verlaengerung ist wirksam: gegen die Rechnung 'Gleichstand -> sofort Muenze'",566,590,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Die Verlaengerung rechnet mit neutral / 3 -- nicht mit / 2 und nicht mit 90 Minuten",592,603,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Die Verlaengerung rechnet mit den NEUTRALEN Raten, nicht mit denen des Hinspiels",605,621,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Elfmeter 50:50: bei gleichen Raten in allen drei Spielen ist die Quote exakt 0.5",623,633,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Heimvorteil wirkt im Einzelspiel: Hinspiel-Siegquote von A > Rueckspiel-Siegquote von A",637,651,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Heimvorteil hebt sich ueber Hin- und Rueckspiel EXAKT auf: Quote(mit) == Quote(neutral, neutral)",653,670,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Die Gesamtdifferenz ueber zwei Spiele ist vom Heimvorteil unabhaengig -- auch P(Gleichstand)",672,701,"tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","max_tore: die Quote aendert sich ab 15 nur noch um < 1e-9 (ELO-Differenz bis 250)",705,720,"zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","max_tore ist der Default 15 und wird durchgereicht",722,730,"zweikampf_quote tordifferenz_verteilung","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix: dimnames aus den Paarungen, Werte in [0, 1], Eintraege = zweikampf_quote",755,791,"p_sieg_matrix zweikampf_quote","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix: die Zeilenreihenfolge der Paarungen ist egal -- Zuordnung ueber a und b",793,801,"p_sieg_matrix","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix: Gegenrichtung ist 1 - t(p_sieg) -- kein Unentschieden ueber zwei Spiele",803,815,"p_sieg_matrix","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix: gleiche Staerke ueberall -> ueberall exakt 0.5",817,823,"p_sieg_matrix","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix bricht bei fehlender Paarung oder fehlender Spalte ab",825,836,"p_sieg_matrix","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","p_sieg_matrix: andere Raten (Frauen-Tormodell) liefern andere Zahlen -- R kennt keine Konstanten",838,849,"p_sieg_matrix","aufstiegsspiele","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: die hergeleitete Matrix laeuft durch aufstiegswahrscheinlichkeit()",891,908,"aufstiegswahrscheinlichkeit p_sieg_matrix","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: rl_aufstiegsprognose rechnet p_sieg aus paarungen, wenn keins uebergeben wird",910,930,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: ein explizites p_sieg hat Vorrang vor der Herleitung aus paarungen",932,944,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: ohne p_sieg UND ohne paarungen bricht es weiter mit 'p_sieg' ab",946,953,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: fehlt ein Team in paarungen, nennt der Fehler das Team",955,971,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: Direktaufsteiger brauchen weder p_sieg noch paarungen",973,979,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Anbindung: gleiche Staerke ueberall -> die Doppelsumme halbiert die Meisterwahrscheinlichkeit",981,990,"rl_aufstiegsprognose","rl_aufstieg","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Integration: match_preview_rust liefert die Raten des Rust-Tormodells",1004,1026,"connect_rust_simulator match_preview_rust","rust_integration","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Integration: zweikampf_paarungen_rust liefert das paarungen-data.frame",1028,1054,"connect_rust_simulator zweikampf_paarungen_rust","rust_integration","aufstiegsspiele",""
"test-aufstiegsspiele.R","league_registry staffel_zuordnung rl_abstiegskopplung rl_aufstieg aufstiegsspiele rust_integration","Integration: die ganze Kette -- Rust-Raten -> p_sieg_matrix -> rl_aufstiegsprognose",1056,1073,"connect_rust_simulator zweikampf_paarungen_rust p_sieg_matrix rl_aufstiegsprognose","aufstiegsspiele","aufstiegsspiele",""
"test-ausblick-sektion.R","generate_static_site","render_ausblick baut Überschrift und Spielzeilen",53,65,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","die Ergebnis-Matrix ist je Spiel aufklappbar",67,78,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","Matrixzellen tragen Komma-Prozente mit einer Nachkommastelle",80,88,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","Zellen unter 0,1 Prozent bleiben leer",90,96,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","Nachholspiele im Ausblick sind gekennzeichnet",98,104,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","Teamnamen im Ausblick werden HTML-escaped",106,114,"render_ausblick","render_sections","render_sections-ausblick","source und Funktionsstimme weichen ab"
"test-ausblick-sektion.R","generate_static_site","die Liga-Seite hängt den Ausblick ans Ende der Spielsektionen",116,153,"render_league_page league_views","generate_static_site","render_sections-ausblick",""
"test-ausblick-sektion.R","generate_static_site","ohne Ausblick-Feld oder mit leerem Fenster entfällt die Sektion",155,181,"render_league_page league_views","generate_static_site","render_sections-ausblick",""
"test-check-api-limits.R","league_registry checkAPILimits","checkAPILimits deckelt die Rundenzahl auf das, was das Budget hergibt",72,82,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","checkAPILimits laesst den Wunsch stehen, wenn das Budget reicht",84,94,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","checkAPILimits fragt die Header ab, statt einen Cache zu benutzen",96,116,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","ohne API-Schluessel gibt checkAPILimits den Wunsch unveraendert zurueck",118,128,"checkAPILimits","checkAPILimits","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","unlesbare Header deckeln nicht, sondern lassen den Wunsch stehen",130,160,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","faellt die Abfrage aus, greift die konservative Schaetzung aus der Registry",162,176,"league_ids","league_registry","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","ein negativer Rate-Limit-Header wird auf 0 Runden geklemmt",183,194,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","ein erschoepftes Kontingent ergibt 0 Runden, nicht eine",196,204,"","","checkAPILimits",""
"test-check-api-limits.R","league_registry checkAPILimits","die fehlgeschlagene Probe meldet sich sofort, nicht erst beim Prozessende",207,227,"","","checkAPILimits",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos uebernimmt current_elos aus dem Endpoint",203,230,"calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos ordnet current_elos per ID zu, nicht positional",232,278,"calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos sendet den Spielplan chronologisch an den Endpoint",280,313,"extract_fixture_details calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos fragt den Endpoint fuer jede aktive Liga",320,345,"league_ids calculate_final_elos","league_registry","elo_aggregation","source und Funktionsstimme weichen ab"
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos ueberspringt Ligen ohne Spiele und laesst deren ELOs stehen",347,380,"league_ids calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos laesst Teams ohne Spiel auf ihrem Startwert",382,412,"calculate_final_elos league_ids","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_final_elos gibt bei durchweg spiellosen Ligen die Startwerte zurueck",414,436,"calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_liga3_relegation_baseline nutzt den Endpoint-Walk weiter",443,502,"calculate_liga3_relegation_baseline Tabelle calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","calculate_liga3_relegation_baseline reicht die Seams durch",504,515,"calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","process_single_season ruft calculate_final_elos ohne R-Walk auf",517,549,"process_single_season calculate_final_elos process_league_teams","season_processor","elo_aggregation","source und Funktionsstimme weichen ab"
"test-ein-elo-walk.R","league_details elo_aggregation","der zweite ELO-Walk existiert nicht mehr",556,590,"","","waechter-quelltext","liest Produktivquelltext als Text"
"test-ein-elo-walk.R","league_details elo_aggregation","die Funktionen, die bleiben, sind noch da",592,604,"calculate_liga3_relegation_baseline get_initial_elo_for_new_team fetch_league_results get_league_matches calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","elo_aggregation.R definiert keinen eigenen ELO-Schritt mehr",606,619,"calculate_final_elos","elo_aggregation","elo_aggregation",""
"test-ein-elo-walk.R","league_details elo_aggregation","kein Produktivcode setzt einen Heimvorteil von 100",626,660,"","","waechter-quelltext","liest Produktivquelltext als Text"
"test-ein-elo-walk.R","league_details elo_aggregation","der einzige Heimvorteil in R ist der der Kalibrierung, und er ist 40",662,674,"","","waechter-quelltext","liest Produktivquelltext als Text"
"test-ein-elo-walk.R","league_details elo_aggregation","rust_binary findet das Binary auch am Ort des Produktionsimages",681,702,"","","waechter-ci-pfade","liest Testdatei/Runner als Text"
"test-ein-elo-walk.R","league_details elo_aggregation","der Snapshot-Test des Saisonwechsels faehrt die echte ELO-Kette",704,732,"","","waechter-ci-pfade","liest Testdatei/Runner als Text"
"test-elo-calibration.R","api_service elo_calibration","anchor_to_mean trifft den Zielmittelwert exakt",15,21,"anchor_to_mean","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","anchor_to_mean verschiebt additiv und laesst die Streuung unveraendert",23,31,"anchor_to_mean","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","anchor_to_mean ist eine Identitaet, wenn der Mittelwert schon stimmt",33,37,"anchor_to_mean","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","anchor_to_mean akzeptiert benannte Vektoren und erhaelt die Namen",39,46,"anchor_to_mean","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","anchor_to_mean weist leere Eingaben zurueck",48,50,"anchor_to_mean","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","apply_relegation_coupling verschiebt beide Ligen gegenlaeufig",54,64,"apply_relegation_coupling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","apply_relegation_coupling erhaelt die Gesamt-ELO bei gleicher Teamzahl",66,74,"apply_relegation_coupling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","apply_relegation_coupling gewichtet ungleiche Ligagroessen korrekt",76,90,"apply_relegation_coupling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","apply_relegation_coupling mit delta 0 aendert nichts",92,100,"apply_relegation_coupling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","apply_relegation_coupling akzeptiert nur einen share in [0, 1]",102,107,"apply_relegation_coupling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","poisson_draw_ceiling reproduziert die Decke des heutigen Modells",111,116,"poisson_draw_ceiling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","poisson_draw_ceiling faellt mit steigendem Torniveau",118,123,"poisson_draw_ceiling","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","check_spread meldet ein Ziel oberhalb der Poisson-Decke als unerreichbar",127,134,"check_spread","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","check_spread haelt ein Ziel unterhalb der Decke fuer erreichbar",136,140,"check_spread","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","check_spread nennt die noetige SD fuer die Frauen-Bundesliga",142,149,"check_spread","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","check_spread gibt die tatsaechliche Streuung der Eingabe zurueck",151,157,"check_spread","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","build_walk_payload nutzt 1-basierte Team-Indizes",161,178,"build_walk_payload","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","build_walk_payload sendet home_advantage nicht mit",180,191,"build_walk_payload","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","build_walk_payload verwirft Spiele mit unbekannten Teams",193,206,"build_walk_payload","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","build_walk_payload bricht ab, wenn kein Spiel uebrig bleibt",208,217,"build_walk_payload","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","teams_from_matches sammelt alle Teams einer Spielmenge",221,231,"teams_from_matches","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","teams_from_matches uebernimmt bekannte ELOs und fuellt den Rest",233,243,"teams_from_matches","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","find_league_movers erkennt Auf- und Absteiger",247,256,"find_league_movers","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","find_league_movers meldet nichts, wenn sich nichts bewegt",258,263,"find_league_movers","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","find_league_movers ignoriert Teams, die ganz verschwinden",265,274,"find_league_movers","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","Ligafamilien trennen Herren und Frauen vollstaendig",278,284,"","","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","assign_short_names vergibt durchweg eindeutige Kuerzel",291,303,"assign_short_names","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","assign_short_names kollidiert nicht mit reservierten Kuerzeln",305,312,"assign_short_names","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","assign_short_names markiert Zweitvertretungen mit -50",314,325,"assign_short_names","elo_calibration","elo_calibration",""
"test-elo-calibration.R","api_service elo_calibration","assign_short_names haelt auch bei vielen aehnlichen Namen durch",327,338,"assign_short_names","elo_calibration","elo_calibration",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data sortiert ein Nachholspiel chronologisch ein",106,128,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data laesst die Reihenfolge ohne Nachholspiele unveraendert",130,146,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data entscheidet bei gleicher Anstosszeit nach OriginalOrder",148,168,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data ist deterministisch: zwei Laeufe, dieselbe Reihenfolge",170,193,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data haelt ohne Anstosszeiten die Eingabereihenfolge",217,236,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data sortiert bei teilweise fehlenden Anstosszeiten stabil",238,278,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data laesst elo_neutral mit seiner Zeile wandern",283,329,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data markiert bei mehreren gewerteten Spielen jedes an seinem Platz",331,357,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data haelt elo_neutral auch bei gleicher Anstosszeit zeilengleich",359,374,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","transform_data behaelt die Spaltenstruktur: numberTeams = ncol - 4",379,415,"transform_data","transform_data","transform_data",""
"test-elo-walk-reihenfolge.R","transform_data league_details","extract_fixture_details liefert die Spiele chronologisch",428,444,"extract_fixture_details","league_details","league_details",""
"test-elo-walk-reihenfolge.R","transform_data league_details","extract_fixture_details entscheidet bei gleicher Anstosszeit nach Eingabereihenfolge",446,459,"transform_data extract_fixture_details","league_details","league_details",""
"test-elo-walk-reihenfolge.R","transform_data league_details","der an Rust gehende league-details-Payload ist chronologisch",461,492,"build_league_details_payload extract_fixture_details","league_details","league_details",""
"test-fixture-cache.R","fixture_cache","cache_path baut einen Pfad je Liga und Saison",12,16,"cache_path","fixture_cache","fixture_cache",""
"test-fixture-cache.R","fixture_cache","cached_fixtures schreibt beim ersten Aufruf und liest danach ohne Fetch",18,35,"cached_fixtures","fixture_cache","fixture_cache",""
"test-fixture-cache.R","fixture_cache","cached_fixtures holt bei refresh = TRUE erneut",37,51,"cached_fixtures","fixture_cache","fixture_cache",""
"test-fixture-cache.R","fixture_cache","cached_fixtures haelt Ligen und Saisons getrennt",53,65,"cached_fixtures","fixture_cache","fixture_cache",""
"test-fixture-cache.R","fixture_cache","cached_fixtures schreibt nichts, wenn der Fetch NULL liefert",67,77,"cached_fixtures cache_path","fixture_cache","fixture_cache",""
"test-fixture-cache.R","fixture_cache","is_regular_season_round erkennt die abweichenden RL-Labels",79,88,"is_regular_season_round","round_filter","fixture_cache","source und Funktionsstimme weichen ab"
"test-fixture-cache.R","fixture_cache","is_regular_season_round verwirft K.-o.- und Playoff-Runden",90,95,"is_regular_season_round","round_filter","fixture_cache","source und Funktionsstimme weichen ab"
"test-fixture-cache.R","fixture_cache","is_regular_season_round ist gegen NA und Leerstring robust",97,100,"is_regular_season_round","round_filter","fixture_cache","source und Funktionsstimme weichen ab"
"test-fixture-cache.R","fixture_cache","is_relegation_round erkennt genau die Relegationspartien",102,109,"is_relegation_round","fixture_cache","fixture_cache",""
"test-fixture-details-produktionsform.R","league_details","extract_fixture_details verarbeitet die flache Produktionsform",53,69,"extract_fixture_details","league_details","league_details",""
"test-fixture-details-produktionsform.R","league_details","flache und genestete Form liefern identische Details",71,109,"extract_fixture_details","league_details","league_details",""
"test-fixture-details.R","league_details transform_data","extract_fixture_details liefert eine flache Zeile je Regular-Season-Spiel",52,70,"extract_fixture_details","league_details","league_details",""
"test-fixture-details.R","league_details transform_data","extract_fixture_details parst die Anstoßzeit als POSIXct in UTC",72,80,"extract_fixture_details","league_details","league_details",""
"test-fixture-details.R","league_details transform_data","extract_fixture_details übernimmt Tore nur als Zahlen, NA für offene Spiele",82,89,"extract_fixture_details","league_details","league_details",""
"test-fixture-details.R","league_details transform_data","extract_fixture_details ist positionsgleich mit transform_data",91,116,"extract_fixture_details transform_data","league_details","league_details",""
"test-frauen-ligen-aktivierung.R","league_registry updateScheduler season_validation checkAPILimits","die Frauen-Ligen sind aktiv",12,32,"league_ids active_league_keys","league_registry","league_registry",""
"test-frauen-ligen-aktivierung.R","league_registry updateScheduler season_validation checkAPILimits","beide Frauen-Ligen tragen das Frauen-Tormodell",39,53,"goal_model","league_registry","league_registry",""
